topo,z,b,theta,L,net_realization,rho_mean,rho_std,seconds
BA,4,1.8,0.3,3,26,1.0,0.0,1.8048582077026367
BA,4,1.8,0.3,4,26,1.0,0.0,3.911953926086426
BA,4,2.0,0.3,1,26,0.6964469999999998,0.1786557648281067,0.6787211894989014
BA,4,2.0,0.3,2,26,1.0,0.0,0.7366478443145752
BA,4,2.0,0.3,3,26,1.0,0.0,1.7848379611968994
BA,4,2.0,0.3,4,26,1.0,0.0,3.9102959632873535
BA,4,1.8,0.3,1,27,0.89232,0.06526627798568935,0.6148099899291992
BA,4,1.8,0.3,2,27,0.999422,0.0014837172379214352,0.7356529235839844
BA,4,1.8,0.3,3,27,0.9999874999999999,5.590169943751341e-05,1.8786146640777588
BA,4,1.8,0.3,4,27,0.9999874999999999,5.590169943751341e-05,4.102196931838989
BA,4,2.0,0.3,1,27,0.7338344999999998,0.09426333681849956,0.6688840389251709
BA,4,2.0,0.3,2,27,0.9990784999999999,0.0018926402471846418,0.7333707809448242
BA,4,2.0,0.3,3,27,0.9999874999999999,5.590169943751341e-05,1.8555378913879395
BA,4,2.0,0.3,4,27,0.9999874999999999,5.590169943751341e-05,4.104663610458374
BA,4,1.8,0.3,1,28,0.8824444999999999,0.09957377547775687,0.7138411998748779
BA,4,1.8,0.3,2,28,1.0,0.0,0.7288100719451904
BA,4,1.8,0.3,3,28,1.0,0.0,1.8170709609985352
BA,4,1.8,0.3,4,28,1.0,0.0,3.9477908611297607
BA,4,2.0,0.3,1,28,0.7312909999999999,0.1830034937227616,0.8459603786468506
BA,4,2.0,0.3,2,28,1.0,0.0,0.7350480556488037
BA,4,2.0,0.3,3,28,1.0,0.0,1.8092041015625
BA,4,2.0,0.3,4,28,1.0,0.0,4.000962972640991
BA,4,1.8,0.3,1,29,0.9362864999999999,0.049814218354433205,0.6939780712127686
BA,4,1.8,0.3,2,29,1.0,0.0,0.7739400863647461
BA,4,1.8,0.3,3,29,1.0,0.0,1.936068058013916
BA,4,1.8,0.3,4,29,1.0,0.0,4.113489866256714
BA,4,2.0,0.3,1,29,0.7352584999999999,0.15796655682953575,0.7009298801422119
BA,4,2.0,0.3,2,29,0.9817910000000001,0.08143312360458724,0.7791910171508789
BA,4,2.0,0.3,3,29,1.0,0.0,1.944854974746704
BA,4,2.0,0.3,4,29,1.0,0.0,4.1275482177734375
BA,16,1.5,0.3,1,0,0.13329050000000003,0.11170256918663395,1.284782886505127
BA,16,1.5,0.3,2,0,0.42457949999999994,0.44451697228239245,3.6476991176605225
BA,16,1.5,0.3,3,0,0.5466175,0.4676532627568263,8.38683271408081
BA,16,1.5,0.3,4,0,0.5817140000000001,0.44024324848405055,7.887842655181885
BA,16,1.7,0.3,1,0,0.037717999999999995,0.04777225957878859,0.8061461448669434
BA,16,1.7,0.3,2,0,0.2713095,0.4331903710412949,2.3039097785949707
