topo,z,regime,b,theta,L,net_realization,rho_mean,rho_std,seconds
ER,16,coop,1.2,0.0,1,2,0.20457039999999999,0.03396720622642202,13.412106037139893
ER,16,coop,1.2,0.0,4,2,1.0,0.0,27.806800842285156
ER,16,coop,1.2,0.0,1,3,0.21300049999999998,0.04058714580748417,5.743372917175293
ER,16,coop,1.2,0.0,4,3,0.9972193999999999,0.007653959669756904,27.861823081970215
ER,16,coop,1.2,0.0,1,4,0.20494510000000002,0.03817164894025646,4.803167104721069
ER,16,coop,1.2,0.0,4,4,1.0,0.0,27.52619481086731
ER,16,coop,1.2,0.0,1,5,0.22848979999999997,0.025964662893084422,5.69968318939209
ER,16,coop,1.2,0.0,4,5,0.9989028999999999,0.0033303299484671598,27.84208917617798
ER,16,coop,1.2,0.0,1,6,0.22259279999999998,0.03378166187370738,5.513552188873291
ER,16,coop,1.2,0.0,4,6,0.9979973,0.006898384799239996,27.844395875930786
ER,16,coop,1.2,0.0,1,7,0.21125980000000003,0.03687854030887248,5.964228868484497
ER,16,coop,1.2,0.0,4,7,0.9995750999999999,0.002450162433287926,27.887627124786377
ER,16,coop,1.2,0.0,1,8,0.21471869999999996,0.03558399900463151,5.486017942428589
ER,16,coop,1.2,0.0,4,8,0.9990875,0.0037273012348011518,33.62341094017029
ER,16,coop,1.2,0.0,1,9,0.22111020000000003,0.030011423009759258,5.841740131378174
ER,16,coop,1.2,0.0,4,9,0.9981939999999999,0.004758392479598553,27.864041090011597
ER,16,defect,1.4,0.1,1,0,0.0,0.0,3.3610167503356934
ER,16,defect,1.4,0.1,4,0,0.0,0.0,27.927316904067993
ER,16,defect,1.4,0.1,1,1,0.0,0.0,3.3058698177337646
ER,16,defect,1.4,0.1,4,1,0.009729199999999999,0.097292,27.89679479598999
ER,16,defect,1.4,0.1,1,2,0.0,0.0,3.321632146835327
ER,16,defect,1.4,0.1,4,2,0.0004230999999999998,0.0029770725553805353,27.948962926864624
ER,16,defect,1.4,0.1,1,3,0.0,0.0,3.3215999603271484
ER,16,defect,1.4,0.1,4,3,0.01,0.09999999999999999,28.02436876296997
ER,16,defect,1.4,0.1,1,4,0.0,0.0,3.2822060585021973
ER,16,defect,1.4,0.1,4,4,0.0,0.0,27.945085048675537
ER,16,defect,1.4,0.1,1,5,0.0,0.0,3.259735107421875
ER,16,defect,1.4,0.1,4,5,0.0,0.0,28.061895847320557
ER,16,defect,1.4,0.1,1,6,0.0,0.0,3.3002519607543945
ER,16,defect,1.4,0.1,4,6,0.02,0.14070529413628965,27.841284036636353
ER,16,defect,1.4,0.1,1,7,0.0,0.0,11.091509819030762
ER,16,defect,1.4,0.1,4,7,0.01,0.09999999999999999,28.06800889968872
ER,16,defect,1.4,0.1,1,8,0.0,0.0,3.2897229194641113
ER,16,defect,1.4,0.1,4,8,0.01,0.09999999999999999,28.25086784362793
ER,16,defect,1.4,0.1,1,9,0.0,0.0,3.298140048980713
ER,16,defect,1.4,0.1,4,9,0.0,0.0,28.30078387260437
ER,16,transition,1.2,0.4,1,0,0.10448570000000001,0.037160124502487936,3.9427149295806885
ER,16,transition,1.2,0.4,4,0,0.6916385999999999,0.42781493403795395,481.9530019760132
ER,16,transition,1.2,0.4,1,1,0.09315350000000003,0.04088863998160681,4.259735107421875
ER,16,transition,1.2,0.4,4,1,0.47926269999999993,0.4405159488963257,33.433112144470215
ER,16,transition,1.2,0.4,1,2,0.0948027,0.039938066974334954,3.984017848968506
ER,16,transition,1.2,0.4,4,2,0.5567677000000001,0.4552436296501916,31.537295818328857
ER,16,transition,1.2,0.4,1,3,0.10428399999999999,0.030771156342039908,4.0824949741363525
ER,16,transition,1.2,0.4,4,3,0.5433639,0.4496416152958359,32.27909994125366
ER,16,transition,1.2,0.4,1,4,0.09494010000000003,0.0397982632861782,4.17069411277771
ER,16,transition,1.2,0.4,4,4,0.5564355000000001,0.4654012627620982,31.080819845199585
ER,16,transition,1.2,0.4,1,5,0.1072499,0.0354566887449685,11.753800868988037
ER,16,transition,1.2,0.4,4,5,0.5653684999999999,0.45456331301163216,31.97695517539978
ER,16,transition,1.2,0.4,1,6,0.10193469999999999,0.039273144638646916,3.975908041000366
ER,16,transition,1.2,0.4,4,6,0.6760819000000001,0.43131557950838795,30.593482971191406
ER,16,transition,1.2,0.4,1,7,0.09898380000000001,0.03515089446050751,3.7750439643859863
ER,16,transition,1.2,0.4,4,7,0.6147133,0.44604479861310803,30.57913327217102
ER,16,transition,1.2,0.4,1,8,0.10796859999999998,0.02961235900939015,4.093491077423096
ER,16,transition,1.2,0.4,4,8,0.6701295999999999,0.4320300634692596,30.44452404975891
ER,16,transition,1.2,0.4,1,9,0.1009822,0.035664023367924694,3.9609038829803467
ER,16,transition,1.2,0.4,4,9,0.6616458999999999,0.43372934334789937,30.25457000732422
ER,16,bistable,1.3,0.2,1,0,0.017464399999999998,0.02641452635703822,3.5558218955993652
ER,16,bistable,1.3,0.2,4,0,0.4717165,0.4961530359674799,29.38479995727539
ER,16,bistable,1.3,0.2,1,1,0.006325099999999999,0.017438586409152978,3.423200845718384
ER,16,bistable,1.3,0.2,4,1,0.25210319999999997,0.4296015377793517,29.355319023132324
ER,16,bistable,1.3,0.2,1,2,0.0108915,0.022103010324479342,3.404614210128784
ER,16,bistable,1.3,0.2,4,2,0.3843065,0.4846393294203016,30.21498703956604
ER,16,bistable,1.3,0.2,1,3,0.010385499999999999,0.022015122826839005,8.185014963150024
ER,16,bistable,1.3,0.2,4,3,0.34808369999999994,0.4686981634781471,28.60059380531311
ER,16,bistable,1.3,0.2,1,4,0.009321899999999998,0.020926621231137987,3.398519992828369
ER,16,bistable,1.3,0.2,4,4,0.3392984,0.46645173079435615,30.028625011444092
ER,16,bistable,1.3,0.2,1,5,0.0111019,0.02291949929358595,3.5085928440093994
ER,16,bistable,1.3,0.2,4,5,0.5164977,0.4952993364589505,29.311970949172974
ER,16,bistable,1.3,0.2,1,6,0.0074186,0.018846581021554554,3.4921159744262695
ER,16,bistable,1.3,0.2,4,6,0.44298269999999995,0.4937993222087779,29.058942794799805
ER,16,bistable,1.3,0.2,1,7,0.0078013,0.019017977122935154,3.4625160694122314
ER,16,bistable,1.3,0.2,4,7,0.4234576,0.4925841255580184,28.321233987808228
ER,16,bistable,1.3,0.2,1,8,0.009501999999999998,0.020586172813592894,3.450610876083374
ER,16,bistable,1.3,0.2,4,8,0.3977794,0.48386152452410175,29.203141927719116
ER,16,bistable,1.3,0.2,1,9,0.011857799999999998,0.022788213929595496,3.3940820693969727
ER,16,bistable,1.3,0.2,4,9,0.46313799999999994,0.49684655124173704,28.63459014892578
