topo,z,corr,L,regime,b,theta,net_realization,rho_mean,rho_std,seconds
BA,16,corr,1,coop,1.0,0.0,5,1.0,0.0,2.8914759159088135
BA,16,corr,1,coop,1.0,0.0,6,1.0,0.0,2.8891713619232178
BA,16,corr,1,coop,1.0,0.0,7,0.8198862,0.20245371017393565,5.615720987319946
BA,16,corr,1,coop,1.0,0.0,8,1.0,0.0,2.868016242980957
BA,16,corr,1,coop,1.0,0.0,9,1.0,0.0,2.8562521934509277
BA,16,corr,1,defect,2.0,0.1,0,0.0038499999999999984,0.011512274433241354,3.224748134613037
BA,16,corr,1,defect,2.0,0.1,1,0.002072,0.009769200932967181,3.210076093673706
BA,16,corr,1,defect,2.0,0.1,2,0.0030952999999999996,0.012123282505038382,3.3457279205322266
BA,16,corr,1,defect,2.0,0.1,3,0.0012086999999999994,0.006646497164338185,3.2127270698547363
BA,16,corr,1,defect,2.0,0.1,4,0.009857099999999997,0.02123973769050871,3.3860368728637695
BA,16,corr,1,defect,2.0,0.1,5,0.011602999999999999,0.10012257691994803,3.2347898483276367
BA,16,corr,1,defect,2.0,0.1,6,0.0,0.0,3.154942035675049
BA,16,corr,1,defect,2.0,0.1,7,0.0056983999999999976,0.014283152519629194,3.290501117706299
BA,16,corr,1,defect,2.0,0.1,8,0.003310799999999999,0.01040092999726855,3.2111570835113525
BA,16,corr,1,defect,2.0,0.1,9,0.0,0.0,3.24953293800354
BA,16,corr,1,transition,1.5,0.1,0,0.5069241,0.43926698949590787,4.574855804443359
BA,16,corr,1,transition,1.5,0.1,1,0.5313538,0.4462804488251709,4.316630125045776
BA,16,corr,1,transition,1.5,0.1,2,0.47105450000000004,0.4194885057968896,5.1715803146362305
BA,16,corr,1,transition,1.5,0.1,3,0.4291623,0.42597975514292497,4.437614917755127
BA,16,corr,1,transition,1.5,0.1,4,0.48886830000000003,0.43663679770631125,4.092432975769043
BA,16,corr,1,transition,1.5,0.1,5,0.3855364,0.4351743550509149,4.938758373260498
BA,16,corr,1,transition,1.5,0.1,6,0.47705390000000003,0.44246315020197624,4.715547800064087
BA,16,corr,1,transition,1.5,0.1,7,0.5396103999999999,0.4388826422387017,4.080013990402222
BA,16,corr,1,transition,1.5,0.1,8,0.5226644,0.4454592686258609,4.774160861968994
BA,16,corr,1,transition,1.5,0.1,9,0.2708606,0.35868633406936656,4.480849981307983
BA,16,corr,1,bistable,1.6,0.0,0,0.7473371,0.4193301538716844,3.6658990383148193
BA,16,corr,1,bistable,1.6,0.0,1,0.7539286,0.4086318779696094,4.004386901855469
BA,16,corr,1,bistable,1.6,0.0,2,0.6262934,0.4637250081941741,3.9260470867156982
BA,16,corr,1,bistable,1.6,0.0,3,0.7275897999999998,0.4202162142794991,4.194463014602661
BA,16,corr,1,bistable,1.6,0.0,4,0.7846387,0.39831111935182406,3.4435298442840576
